0 0 127 127 127 0 
0 1 127 127 127 0 
0 2 127 127 127 0 
0 3 147 146 145 1 
0 4 147 146 145 1 
0 5 127 127 127 0 
0 6 127 127 127 0 
0 7 127 127 127 0 
1 0 127 127 127 0 
1 1 127 127 127 0 
1 2 147 146 145 1 
1 3 147 146 145 1 
1 4 127 127 127 0 
1 5 57 4 156 1 
1 6 57 4 156 1 
1 7 127 127 127 0 
2 0 195 56 61 1 
2 1 147 146 145 1 
2 2 147 146 145 1 
2 3 127 127 127 0 
2 4 127 127 127 0 
2 5 228 163 139 1 
2 6 106 47 17 1 
2 7 57 4 156 1 
3 0 127 127 127 0 
3 1 228 163 139 1 
3 2 195 56 61 1 
3 3 238 170 8 1 
3 4 238 170 8 1 
3 5 127 127 127 0 
3 6 228 163 139 1 
3 7 57 4 156 1 
4 0 127 127 127 0 
4 1 109 139 35 1 
4 2 238 170 8 1 
4 3 247 211 37 1 
4 4 238 170 8 1 
4 5 238 170 8 1 
4 6 109 139 35 1 
4 7 127 127 127 0 
5 0 127 127 127 0 
5 1 109 139 35 1 
5 2 247 211 37 1 
5 3 238 170 8 1 
5 4 238 170 8 1 
5 5 238 170 8 1 
5 6 109 139 35 1 
5 7 127 127 127 0 
6 0 127 127 127 0 
6 1 127 127 127 0 
6 2 84 10 22 1 
6 3 238 170 8 1 
6 4 238 170 8 1 
6 5 84 10 22 1 
6 6 127 127 127 0 
6 7 127 127 127 0 
7 0 127 127 127 0 
7 1 127 127 127 0 
7 2 106 47 17 1 
7 3 84 10 22 1 
7 4 84 10 22 1 
7 5 106 47 17 1 
7 6 127 127 127 0 
7 7 127 127 127 0 
