0 0 127 127 127 0 
0 1 127 127 127 0 
0 2 47 17 249 1 
0 3 47 17 249 1 
0 4 127 127 127 0 
0 5 127 127 127 0 
0 6 127 127 127 0 
0 7 127 127 127 0 
1 0 127 127 127 0 
1 1 47 17 249 1 
1 2 133 52 5 1 
1 3 244 147 132 1 
1 4 8 105 8 1 
1 5 8 105 8 1 
1 6 127 127 127 0 
1 7 127 127 127 0 
2 0 127 127 127 0 
2 1 47 17 249 1 
2 2 244 147 132 1 
2 3 127 127 127 1 
2 4 191 159 33 1 
2 5 250 230 130 1 
2 6 133 52 5 1 
2 7 167 125 58 1 
3 0 147 146 145 1 
3 1 127 127 127 1 
3 2 127 127 127 1 
3 3 191 159 33 1 
3 4 250 230 130 1 
3 5 191 159 33 1 
3 6 191 159 33 1 
3 7 133 52 5 1 
4 0 147 146 145 1 
4 1 147 146 145 1 
4 2 127 127 127 0 
4 3 250 230 130 1 
4 4 191 159 33 1 
4 5 191 159 33 1 
4 6 191 159 33 1 
4 7 133 52 5 1 
5 0 127 127 127 0 
5 1 147 146 145 1 
5 2 147 146 145 1 
5 3 175 0 6 1 
5 4 191 159 33 1 
5 5 191 159 33 1 
5 6 133 52 5 1 
5 7 167 125 58 1 
6 0 127 127 127 0 
6 1 127 127 127 0 
6 2 175 0 6 1 
6 3 244 147 132 1 
6 4 8 105 8 1 
6 5 8 105 8 1 
6 6 127 127 127 0 
6 7 127 127 127 0 
7 0 127 127 127 0 
7 1 175 0 6 1 
7 2 127 127 127 0 
7 3 175 0 6 1 
7 4 127 127 127 0 
7 5 127 127 127 0 
7 6 127 127 127 0 
7 7 127 127 127 0 
